,Cluster,Word_Type,Weights
0,10,blm,0.0001049163348036
1,18,as,0.0064623997714163
2,18,an,0.0042346018536707
3,7,organization,0.0001785809954104
4,1,is,0.0315887458256692
5,3,not,0.0129538189545868
6,18,a,0.0221150240191438
7,7,terrorist,0.0001540261085415
8,7,approximately,3.125167419683197e-05
9,7,percent,0.000145097058771
10,18,of,0.0220993981820454
11,18,recent,0.0002701037555583
12,12,protests,8.259371037734164e-05
13,18,were,0.0021005589585156
14,12,peaceful,8.259371037734164e-05
15,18,the,0.0535251888494026
16,12,national,0.0003370716288372
17,18,specifically,0.0002009036198367
18,7,calls,7.589692304944908e-05
19,18,for,0.0104313623944139
20,7,protest,7.143239816418736e-05
21,18,this,0.0151191135239387
22,7,post,0.0006027108595103
23,7,claims,0.0012790863796274
24,1,does,0.0018483133024983
25,3,deserve,6.6967873278925655e-06
26,12,nobel,1.5625837098415986e-05
27,12,peace,1.785809954104684e-05
28,12,prize,1.5625837098415986e-05
29,18,they,0.0028572959265674
30,10,incited,3.125167419683197e-05
31,7,violence,0.0003861814025751
32,3,non-violent,2.232262442630855e-06
33,18,and,0.0187978820293944
34,12,explicitly,4.687751129524796e-05
35,18,that,0.0131547225744236
36,18,on,0.0057145918531349
37,18,their,0.0026050502705502
38,7,page,0.0001562583709841
39,3,vast,3.3483936639462826e-05
40,18,majority,0.0002209939818204
41,18,related,0.0003236780541814
42,18,in,0.017512098862439
43,12,us,0.0014442738003821
44,7,claim,0.0018996553386788
45,7,false,0.0016652677822026
46,12,carter,6.6967873278925655e-06
47,12,ford,8.92904977052342e-06
48,12,nixon,4.46452488526171e-06
49,18,also,0.0012277443434469
50,3,did,0.001765719592121
51,12,start,0.0001004518099183
52,18,new,0.0012188152936764
53,12,war,0.0001406325338857
54,3,neither,0.0001361680090004
55,3,nor,0.0003794846152472
56,10,antifa,0.0001495615836562
57,7,involved,0.0001763487329678
58,7,attack,0.0003393038912798
59,12,capitol,0.0007165562440845
60,18,it,0.0084178616711609
61,18,was,0.0065516902691215
62,10,instigated,6.6967873278925655e-06
63,7,primarily,4.241298640998625e-05
64,18,by,0.0057637016268728
65,12,pro-trump,1.5625837098415986e-05
66,12,protestors,4.241298640998625e-05
67,7,lost,0.0012009571941354
68,12,wind,5.134203618050967e-05
69,7,power,0.0003147490044109
70,18,expected,6.920013572155651e-05
71,18,to,0.025597353429648
72,18,be,0.0049154418986731
73,7,fraction,1.3393574655785133e-05
74,12,winter,4.9109773737878815e-05
75,7,generation,3.794846152472454e-05
76,18,all,0.002551475971927
77,7,sources,0.0014799899994642
78,7,from,0.0070517170562708
79,13,natural,0.000290194117542
80,12,gas,0.0001741164705252
81,12,nuclear,6.027108595103309e-05
82,12,coal,3.3483936639462826e-05
83,12,solar,1.5625837098415986e-05
84,18,have,0.0052748361519367
85,3,struggled,2.232262442630855e-06
86,7,generate,1.5625837098415986e-05
87,7,during,0.0005692269228708
88,12,storm,4.241298640998625e-05
89,18,has,0.0054310945229208
90,7,left,0.0004085040270014
91,13,millions,0.0001227744343446
92,12,texans,3.3483936639462826e-05
93,7,dark,3.125167419683197e-05
94,12,white,0.000622801221494
95,12,house,0.0004620783256245
96,10,censoring,8.92904977052342e-06
97,18,anyone,0.0004285943889851
98,6,misinformation,0.0008058467417897
99,7,facebook,0.0002009036198367
100,18,being,0.0017389324428094
101,7,cited,0.0001919745700662
102,0,biden,0.0022947657910245
103,12,administration,0.0005625301355429
104,1,comes,0.0001004518099183
105,12,widely-available,2.232262442630855e-06
106,7,mainstream,0.0002500133935746
107,7,media,0.0006696787327892
108,7,reports,0.0004330589138703
109,3,including,0.0005290461989035
110,7,story,0.0004710073753951
111,7,npr,6.47356108362948e-05
112,3,no,0.009493812168509
113,18,one,0.00162062253335
114,12,s,0.0043038019893922
115,12,free,0.000368323303034
116,12,speech,0.0002991231673125
117,18,been,0.0032501741164705
118,7,limited,8.036144793471079e-05
119,7,ben,2.2322624426308556e-05
120,7,rhodes,1.3393574655785133e-05
121,18,said,0.0010424665607086
122,3,such,0.0005915495472971
123,7,thing,0.000180813257853
124,3,fact,0.0018617068771541
125,3,gone,6.696787327892565e-05
126,18,out,0.0014219511759558
127,18,his,0.0020358233476793
128,18,way,0.0005178848866903
129,18,make,0.0006027108595103
130,18,sure,0.0001004518099183
131,18,he,0.0031050770576995
132,3,clear,0.0004888654749361
133,18,when,0.0011987249316927
134,7,criticizing,2.4554886868939407e-05
135,12,politician,5.134203618050967e-05
136,13,people,0.003131864207011
137,7,news,0.0009152276014786
138,7,lie,0.0008437952033144
139,12,withdrawal,4.464524885261711e-05
140,7,plan,0.0002946586424272
141,18,put,0.0001785809954104
142,18,place,0.0002321552940336
143,12,trump,0.0028327410396985
144,7,before,0.000477704162723
145,18,ever,0.0001584906334267
146,18,got,0.000247781131132
147,18,into,0.0005402075111166
148,12,office,0.0003058199546404
149,3,even,0.0007321820811829
150,3,still,0.0007031626694287
151,7,evacuated,6.027108595103309e-05
152,3,since,0.0006674464703466
153,12,end,0.0001339357465578
154,7,july,0.0002276907691483
155,19,tweet,0.0043953247495401
156,1,makes,0.0004308266514277
157,3,lot,9.152276014786506e-05
158,3,sense,9.152276014786506e-05
159,12,jillian,4.46452488526171e-06
160,7,work,0.000410736289444
161,12,home,0.0001428647963283
162,7,setup,4.46452488526171e-06
163,18,just,0.0010223761987249
164,7,test,0.0006004785970677
165,8,earthquakes,0.0016295515831205
166,18,are,0.0087370752004571
167,10,scientifically,3.571619908209368e-05
168,7,predictable,6.6967873278925655e-06
169,19,tweets,0.0002678714931157
170,18,like,0.0037278782791935
171,18,can,0.0021719913566798
172,13,cause,0.0004509170134114
173,7,panic,0.000265639230673
174,7,areas,5.580656106577138e-05
175,12,delegates,6.6967873278925655e-06
176,13,tested,0.0002009036198367
177,7,results,0.0011339893208564
178,13,negative,0.0001339357465578
179,7,attending,2.0090361983677695e-05
180,7,indoor,2.6787149311570265e-05
181,7,event,0.0002567101809025
182,3,but,0.0040895047948997
183,7,publish,1.3393574655785133e-05
184,3,many,0.0010804150222333
185,13,infected,0.0003772523528046
186,18,those,0.0008504919906423
187,12,black,0.0002276907691483
188,7,material,0.0003571619908209
189,10,polyp,4.46452488526171e-06
190,3,stated,0.0004018072396735
191,7,video,0.0012924799542832
192,11,polypropylene,4.46452488526171e-06
193,7,fibers,4.46452488526171e-06
194,18,turn,5.803882350840223e-05
195,7,surface,2.2322624426308556e-05
196,7,mask,0.0003817168776898
197,10,famped,2.232262442630855e-06
198,18,with,0.0043663053377859
199,7,boiling,2.232262442630855e-06
200,12,water,0.0001495615836562
201,3,may,0.0009062985517081
202,13,serious,0.0001919745700662
203,13,harm,0.000223226244263
204,3,because,0.0009375502259049
205,13,lead,0.0005022590495919
206,3,other,0.0012902476918406
207,3,stop,0.0001741164705252
208,3,wearing,0.0001763487329678
209,7,masks,0.0005491365608871
210,1,gets,4.241298640998625e-05
211,7,warmer,3.794846152472454e-05
212,3,than,0.0035515295462256
213,3,certain,0.0001562583709841
214,18,level,0.0001361680090004
215,10,ozgur,2.232262442630855e-06
216,10,demirtas,2.232262442630855e-06
217,10,akbank,2.232262442630855e-06
218,10,yonetim,2.232262442630855e-06
219,10,kurulunda,2.232262442630855e-06
220,10,icraci,2.232262442630855e-06
221,10,uye,2.232262442630855e-06
222,10,konumunda,2.232262442630855e-06
223,10,degil,4.46452488526171e-06
224,10,akbank'in,2.232262442630855e-06
225,7,yasadigi,2.232262442630855e-06
226,7,sorun,2.232262442630855e-06
227,10,bilgisayar,2.232262442630855e-06
228,10,sistemlerindeki,2.232262442630855e-06
229,10,teknik,2.232262442630855e-06
230,10,problemlerden,2.232262442630855e-06
231,10,kaynakli,2.232262442630855e-06
232,10,ekonomik,2.232262442630855e-06
233,7,author,0.0005870850224119
234,11,ataturk,4.46452488526171e-06
235,3,standing,4.464524885261711e-05
236,12,islamic,4.464524885261711e-05
237,18,prayer,4.464524885261711e-05
238,7,mat,2.232262442630855e-06
239,6,humiliate,4.46452488526171e-06
240,12,islam,1.3393574655785133e-05
241,7,religion,7.366466060681822e-05
242,18,what,0.001221047556119
243,7,photo,0.0005402075111166
244,7,turkish,6.6967873278925655e-06
245,7,rug,2.232262442630855e-06
246,7,traditional,2.4554886868939407e-05
247,7,motives,1.5625837098415986e-05
248,18,according,0.0015938353840384
249,7,belief,4.9109773737878815e-05
250,7,prayers,4.46452488526171e-06
251,7,performed,3.125167419683197e-05
252,3,any,0.0017054485061699
253,7,clean,2.6787149311570265e-05
254,18,it's,0.0011585442077254
255,7,official,0.000410736289444
256,7,note,0.0002790328053288
257,18,about,0.0020648427594335
258,12,birdwatch,0.0008147757915602
259,1,here,0.0012322088683322
260,7,someone,0.0004821686876082
261,2,corroborating,1.1161312213154276e-05
262,10,aoc's,1.3393574655785133e-05
263,18,whereabouts,4.46452488526171e-06
264,12,dodgers,2.232262442630855e-06
265,12,signed,9.598728503312675e-05
266,7,bauer,2.232262442630855e-06
267,8,rick,2.0090361983677695e-05
268,10,astley,4.46452488526171e-06
269,7,dead,7.812918549207993e-05
270,1,meant,0.0001607228958694
271,1,purely,3.3483936639462826e-05
272,7,confusion,1.5625837098415986e-05
273,7,see,0.0007567369680518
274,7,wikipedia,6.696787327892565e-05
275,7,proven,0.0004821686876082
276,7,wrong,0.0003259103166241
277,18,again,0.0001897423076236
278,7,statement,0.0008929049770523
279,7,multiple,0.0004799364251656
280,7,pieces,2.6787149311570265e-05
281,7,bus,1.785809954104684e-05
282,18,every,0.0018125971034162
283,13,available,0.0004062717645588
284,7,online,9.152276014786506e-05
285,18,will,0.0012567637552011
286,7,confirm,7.812918549207993e-05
287,19,tweeting,5.357429862314053e-05
288,12,covered,4.01807239673554e-05
289,18,under,0.000598246334625
290,12,first,0.0006518206332482
291,12,amendment,0.0003102844795256
292,3,considered,0.0002299230315909
293,12,freedom,0.0001116131221315
294,18,fundamental,2.232262442630855e-06
295,7,misunderstanding,2.2322624426308556e-05
296,10,hipaa,5.580656106577138e-05
